fileNumber,accessionNumber,countFilings,countAmendments,countProgressUpdates,latestProgressUpdate,quarter,companyAge,initialTargetOffering,finalTargetOffering,initialCampaignDeadline,finalCampaignDeadline,unknownProgressUpdate,raisedAmount,securityOfferedType,noOfSecurityOffered,price,oversubscriptionAccepted,oversubscriptionAllocationType,maximumOfferingAmount,currentEmployees,totalAssetMostRecentFiscalYear,totalAssetPriorFiscalYear,cashEqMostRecentFiscalYear,cashEqPriorFiscalYear,accountsReceivedRecentFiscalYear,accountsReceivedPriorFiscalYear,shortTermDebtMRecentFiscalYear,shortTermDebtPriorFiscalYear,longTermDebtRecentFiscalYear,longTermDebtPriorFiscalYear,revenueMostRecentFiscalYear,revenuePriorFiscalYear,costGoodsSoldRecentFiscalYear,costGoodsSoldPriorFiscalYear,taxPaidMostRecentFiscalYear,taxPaidPriorFiscalYear,netIncomeMostRecentFiscalYear,netIncomePriorFiscalYear,issuerName,legalStatusForm,dateIncorporation,city,stateOrCountry,zipCode,issuerWebsite,filingDate,IntermediaryName,state (US),Country,Platform
020-29429,0001670254-21-001419,5,2,1,"The final number is $4,997,999.00 in investments.",4Q,850,250000.3,250000.3,2022-04-30,2023-04-30,0,4997999.00,Preferred Stock,172414,1.94,Y,Other,4999999.85,3,101165,56345,61165,36345,0,0,1020,0,60000,0,0,0,0,0,0,0,-16200,-3655,"Next Thing Technologies, Inc",Corporation,2019-08-26,San Francisco,CA,94108,http://nextbolt.co,2021-12-23,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-28090,0001861670-21-000001,4,0,1,"Offering ended on 06-10-2021. This is the update for how much ended up in the closed offering. We raised $4,995,123 in capital. The accounts been reconciled and the offering is closed.",2Q,66,1000000,1000000,2021-06-10,2021-06-10,0,4995123.00,Preferred Stock,1000000,1,Y,"First-come, first-served basis",5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Toothy Cow Productions, LLC",Limited Liability Company,2021-03-09,FRANKLIN,TN,37064,http://www.toothycowproductions.com,2021-05-14,"VAS Portal, LLC",TENNESSEE,United States,"VAS Portal, LLC"
020-30366,0001918985-22-000002,2,0,1,"The Offering closed successfully on 8/2/2022, having received investment commitments of $4,991,580.30, although a final accounting has not taken place.",2Q,531,25000,25000,2022-10-17,2022-10-17,0,4991580.30,Other,25000,1,Y,Other,5000000,7,802287,0,161470,0,29175,0,782266,0,20021,0,1645805,0,1513247,0,0,0,-621202,0,"Curios, Inc.",Corporation,2021-01-06,AUSTIN,TX,78705,https://www.curios.com,2022-06-21,Republic,TEXAS,United States,Republic
020-29144,0001669191-21-001114,9,5,2,"End of offering. Issuer closed its offering with estimated gross proceeds of $4,989,844. The foregoing is in regard only to the amount raised under the Section 4(a)(6) exemption.",4Q,1499,10003.69,10012.2,2021-12-02,2022-05-02,0,4989844.00,Common Stock,703,14.23,Y,"First-come, first-served basis",3948398.1,2,2883896,1462166,1650223,451398,0,0,127084,127084,0,0,0,0,0,0,0,0,-4811177,-2406931,MAGFAST LLC,Limited Liability Company,2017-10-03,Cornwall on Hudson,NY,12520,MAGFAST.com,2021-11-10,NetCapital Funding Portal Inc.,NEW YORK,United States,NetCapital Funding Portal Inc.
020-30467,0001780409-22-000002,4,0,1,"The Offering closed successfully on 8/10/2022, having received investment commitments of $4,986,728.94, although a final accounting has not taken place",3Q,1784,25000,25000,2022-09-07,2022-09-07,0,4986728.94,Other,25000,1,Y,Other,5000000,8,3995891,1574599,795538,85193,121789,0,279276,402734,0,911753,732320,35679,0,0,0,0,-2099948,-2722276,StyleRow Design Corp.,Corporation,2017-08-18,BEVERLY HILLS,CA,90211,www.stylerow.com,2022-07-07,Republic,CALIFORNIA,United States,Republic
020-30833,0001938967-22-000002,4,0,1,"The Offering closed successfully on 9/29/2022, having received investment commitments of $4,982,420.18, although a final accounting has not taken place.",3Q,78,1000000,1000000,2022-10-31,2022-10-31,0,4982420.18,Other,1000000,1,Y,Other,5000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metaintro Inc.,Corporation,2022-06-14,SANIBEL,FL,33957,https://www.metaintro.com/,2022-08-31,Republic,FLORIDA,United States,Republic
020-29636,0001907870-22-000001,5,1,1,"The offering closed successfully on 4/21/2022, having received commitments of $4,981,606.19, although a final accounting has not taken place.",1Q,62,25000,25000,2022-04-27,2022-04-27,0,4981606.19,Other,25000,1,Y,Other,5000000,3,1000,0,1000,0,0,0,9575,0,0,0,0,0,8575,0,0,0,-8575,0,Hydro Hash Inc.,Corporation,2021-12-03,ALBUQUERQUE,NM,87102,https://www.hydrohash.io/,2022-02-03,Republic,NEW MEXICO,United States,Republic
020-29238,0001893768-21-000001,5,0,1,"Offering ended on 12-21-2021. This is the update for how much ended up in the closed offering. The offering amounts have been reconciled. We raised $4,936,993.00 in Capital and sold 4,936,993 units in the offering.",4Q,70,1000000,1000000,2021-12-21,2021-12-21,0,4936993.00,Preferred Stock,1000000,1,Y,"First-come, first-served basis",5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slingshot USA LLC,Limited Liability Company,2021-09-14,WILMINGTON,DE,19801,https://www.thedavidmovie.com,2021-11-23,"VAS Portal, LLC",DELAWARE,United States,"VAS Portal, LLC"
020-31701,0001665160-23-000159,5,2,1,"At the close of the offering, the issuer closed on $4,929,105.41 and 3,330,864 number of securities.",1Q,663,9999.73,9999.73,2023-05-01,2023-04-04,0,4929105.41,Other,5917,1.69,Y,Other,4999998.51,5,468000,0,407000,0,0,0,1758000,0,0,0,0,0,0,0,0,0,-1582000,-1169000,"FibroBiologics, Inc.",Corporation,2021-04-08,Houston,TX,77598,https://fibrobiologics.com/,2023-01-31,StartEngine,TEXAS,United States,StartEngine
020-26140,0001665160-20-000149,12,4,3,"At the close of the offering, the issuer closed on $4,924,591.64 and 4,942,055 shares of common stock.",1Q,1723,9999.9,9999,2020-05-21,2021-09-10,0,4924591.64,Common Stock,24390,0.41,Y,Other,1069999.96,10,2207132,2360963,33185,11674,0,0,399397,385397,100000,0,0,418428,0,0,0,0,-626712,-371992,"LaneAxis, Inc.",Corporation,2015-06-04,Huntington Beach,CA,92648,www.laneaxis.com,2020-02-21,StartEngine,CALIFORNIA,United States,StartEngine
020-28836,0001670254-21-001087,3,1,1,"The final number is $4,914,037.00 in investments.",3Q,1502,2499977.33,2499977.33,2021-10-19,2021-10-22,0,4914037.00,Preferred Stock,32542,76.8231,Y,Other,4999954.65,149,30884122,21758890,27877909,19241054,468617,704,17838348,291670,1000000,1400000,2713633,473123,1149081,105167,0,0,-8708185,-3662243,"Mercury Technologies, Inc.",Corporation,2017-08-18,San Francisco,CA,94105,http://mercury.com,2021-09-28,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-30797,0001665160-22-002295,4,2,1,"At the close of the offering, the issuer closed on $4,896,378.34 and 5,913,887 number of securities.",3Q,1727,10000,10000,2022-11-22,2023-02-20,0,4896378.34,Other,12500,0.8,Y,Other,3625572.8,25,34617526,4806007,21415506,3676341,488949,0,8951622,3441068,32464357,167700,1955795,90000,5313969,90000,0,0,-13584157,-1162792,BOXABL INC.,Corporation,2017-12-02,North Las Vegas,NV,89115,https://www.startengine.com/boxabl,2022-08-25,StartEngine,NEVADA,United States,StartEngine
020-29106,0001890316-21-000001,4,0,1,"The Offering closed successfully on 12/7/2021, having received investment commitments of $4,896,235.54, although a final accounting has not taken place.",4Q,55,25000,25000,2022-04-30,2022-04-30,0,4896235.54,Other,25000,1,Y,Other,5000000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bitgreen Inc.,Corporation,2021-09-10,WEST PALM BEACH,FL,33411,https://bitgreen.org,2021-11-04,Republic,FLORIDA,United States,Republic
020-29985,0001908270-22-000001,5,1,1,"The Offering closed successfully on 4/28/2022, having received investment commitments of $4,870,499.87, although a final accounting has not taken place.",2Q,1983,25000,25000,2022-04-30,2022-04-30,0,4870499.87,Other,25000,1,Y,Other,5000000,6,1633115,821497,200721,39363,0,0,17660,97572,277951,900000,8783,113603,0,0,0,0,-538596,-239308,"Authenticiti, Inc",Corporation,2016-10-26,SAN FRANCISCO,CA,94133,http://cultos.io,2022-04-01,Republic,CALIFORNIA,United States,Republic
020-30313,0001931678-22-000003,6,3,1,"$4,869,700 was raised through regulation crowdfunding on PicMii Crowdfunding.",2Q,85,10000,10000,2022-06-15,2022-12-01,0,4869700.00,Other,1000,10,Y,"First-come, first-served basis",5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Value Add Growth REIT III LLC,Limited Liability Company,2022-03-16,SAN DIEGO,CA,92101,www.diversyfund.com,2022-06-09,PicMii Crowdfunding LLC,CALIFORNIA,United States,others
020-29718,0001864936-22-000003,2,0,1,"The Offering closed successfully on 4/23/2022, having received investment commitments of $4,867,054.66, although a final accounting has not taken place.",1Q,1760,1000000,1000000,2022-05-31,2022-05-31,0,4867054.66,Other,1000000,1,Y,Other,5000000,0,162121,42385,46411,2173,77494,14877,100680,47129,117334,36708,317009,65392,245549,50754,0,0,-14441,-18460,"Mighty Monkey, LLC",Limited Liability Company,2017-04-24,WOOD-RIDGE,NJ,7075,https://www.mightymonkeybakery.com,2022-02-17,Republic,NEW JERSEY,United States,Republic
020-30166,0001783580-22-000005,3,1,1,"The Offering closed successfully on 7/7/2022, having received investment commitments of $4,852,508.10, although a final accounting has not taken place.",2Q,1059,25000,25000,2022-08-31,2022-08-31,0,4852508.10,Other,25000,1,Y,Other,2000000,10,5167904,457821,2667234,237957,0,0,1498972,425691,1498972,425691,1392642,305821,70076,3285,5324,1250,1592639,541610,"Ember Fund, Inc",Corporation,2019-06-18,LOS ANGELES,CA,90094,https://emberfund.io/,2022-05-12,Republic,CALIFORNIA,United States,Republic
020-28264,0001619078-21-000006,5,1,1,"The Offering closed successfully on 8/15/2021, having received investment commitments of $4,850,616.50, although a final accounting has not taken place.",2Q,3430,25000,25000,2022-04-30,2022-04-30,0,4850616.50,Other,25000,1,Y,Other,5000000,66,4829503,2637103,3458005,1497249,119652,23228,1116089,557932,707475,0,13895557,9585573,3193691,2445448,-21612,261522,840830,-432126,Peaberry Software Inc.,Corporation,2012-01-30,Portland,OR,97205,www.customer.io,2021-06-21,Republic,OREGON,United States,Republic
020-30296,0001921426-22-000001,3,0,1,"The Offering closed successfully on 7/27/2022, having received investment commitments of $4,831,178.00, although a final accounting has not taken place.",2Q,1889,1000000,1000000,2022-08-07,2022-08-07,0,4831178.00,Other,1000000,1,Y,Other,5000000,32,1897470,1926763,192267,654773,434808,371088,1104377,962906,7412131,4618620,2922061,2242690,2851959,2251094,0,0,-2964275,-1787767,"Steeped, Inc.",Corporation,2017-04-05,SCOTTS VALLEY,CA,95066,https://steepedcoffee.com,2022-06-07,Republic,CALIFORNIA,United States,Republic
020-27554,0001839828-21-000001,7,1,2,"The Offering closed successfully on April 1, 2021, having received investment commitments of $4,720,880 after the final accounting.",1Q,909,100000,100000,2021-04-30,2021-04-30,0,4720880.00,Other,1000,100,Y,Other,1070000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Backstage Capital, LLC",Limited Liability Company,2018-08-07,LOS ANGELES,CA,90028,backstagecapital.com,2021-02-01,Republic,CALIFORNIA,United States,Republic
020-28736,0001852878-21-000003,4,0,1,"The Offering closed successfully on 2/01/2022, having received investment commitments of $4,609,553.19, although a final accounting has not taken place.",3Q,621,25000,25000,2022-01-31,2022-01-31,0,4609553.19,Other,25000,1,Y,Other,5000000,61,2051345,0,1923902,0,0,0,0,0,0,0,17211,0,17211,0,0,0,-2217634,0,Terraformation Inc.,Corporation,2020-01-01,Waimea,HI,96743,https://www.terraformation.com,2021-09-13,Republic,HAWAII,United States,Republic
020-27658,0001792508-21-000001,3,1,1,"The Offering closed successfully on 10/13/2021, having received investment commitments of $4,528,363.90, although a final accounting has not taken place.",1Q,984,25000,25000,2021-04-27,2021-12-31,0,4528363.90,Other,25000,1,Y,Other,500000,2,661147,637106,193308,225251,0,0,59091,66628,0,0,998,0,0,0,0,0,-353422,-349622,"Linen Mobile, Inc.",Corporation,2018-06-11,SAN FRANCISCO,CA,94105,https://linen.app,2021-02-19,Republic,CALIFORNIA,United States,Republic
020-32136,0001670254-23-000297,2,0,1,"The final number is $4,520,842.00 in investments.",2Q,1955,50000,50000,2023-04-30,2023-04-28,0,4520842.00,Preferred Stock,1903,26.2871,Y,Other,5000000,76,62667814,16467233,55386969,15279360,-54165,-2136,6635026,2695391,0,0,-5167975,1454052,1399728,414868,0,0,-22876537,-2320785,Substack Inc.,Corporation,2017-11-28,San Francisco,CA,94104,https://substack.com/,2023-04-06,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-28502,0001670254-21-000896,4,0,1,"The issuer sold 1,299,458 shares of Preferred Series Seed Plus Stock at a total purchase price of $4,275,216.82.",3Q,1496,100006.13,100006.13,2022-04-30,2022-04-30,0,4275216.82,Preferred Stock,30397,3.29,Y,Other,4999997.24,36,1038352,910833,252687,442628,0,0,1602742,879323,0,0,5559807,5326590,1558244,1758804,0,0,-898954,-1048399,Listener Brands Inc.,Corporation,2017-06-28,Chicago,IL,60612,http://curlmix.com,2021-08-02,Wefunder Portal LLC,ILLINOIS,United States,Wefunder Portal LLC
020-25480,0001665160-19-000765,5,2,2,"Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $4215,576 and 52,290 number of securities.",3Q,247,10000,10000,2019-10-04,2019-12-03,0,4215576.00,Other,1250,8,Y,Other,428000,14,6625,0,5845,0,0,0,0,0,0,0,0,0,0,0,0,0,-1375,0,Franny's Distribution Incorporated,Corporation,2018-10-29,Leicester,NC,28748,www.frannysfarmacy.com,2019-07-03,StartEngine,NORTH CAROLINA,United States,StartEngine
020-27249,0001665160-20-001474,8,3,2,"Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $4,191,633.25 and 928,357 number of securities.",4Q,635,9996.17,9996.17,2021-04-30,2021-09-15,0,4191633.25,Other,2159,4.63,Y,Other,1069993,12,494904,364979,159855,7115,244951,69352,254514,711289,0,25000,1213060,715741,1369751,590605,0,0,-1183818,-239558,"ABH Holdco, Inc.",Corporation,2019-03-01,Charleston,SC,29403,www.islandbrandsusa.com,2020-11-25,StartEngine,SOUTH CAROLINA,United States,StartEngine
020-29077,0001665160-21-001933,4,0,1,"At the close of the offering, the issuer closed on $4,190,694.3 and 1,619,948 number of securities.",4Q,1498,9998.94,9998.94,2022-04-27,2022-04-27,0,4190694.30,Common Stock,3759,2.66,Y,Other,4999978.06,15,5632746,2191890,1829642,1318388,0,0,0,0,7175396,3725739,1409752,99900,0,0,0,0,-514072,-1730793,LIFT Aircraft Inc.,Corporation,2017-09-22,Austin,TX,78731,https://www.liftaircraft.com/,2021-10-29,StartEngine,TEXAS,United States,StartEngine
020-32021,0001644600-23-000044,5,2,2,"The offering closed on 8/11/23 and raised a total of $4,003,770.06 (of which $3,881,205.95 was equity and $122,564.11 was ancillary fees).",1Q,3377,9995.54,9995.54,2023-07-29,2023-08-10,0,4003770.06,Preferred Stock,1607,6.22,Y,Other,4100000,43,9083070,7760032,5809264,6197295,98259,195861,2420011,1741689,25000,24669,3709966,2103090,3128272,1527018,36889,28333,-4703384,-3845456,Virtuix Holdings Inc.,Corporation,2013-12-20,AUSTIN,TX,78758,www.virtuix.com,2023-03-20,Dealmaker,TEXAS,United States,others
020-30832,0001815196-22-000003,3,1,1,"Final update; close of fund as investment period ended on 2/28/2023. Total capital raised: $3,845,585.",3Q,55,100000,100000,2023-02-28,2023-02-28,0,3845585.00,Other,100000,1,Y,Other,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STERLING RHINO CAPITAL EQUITY MULTIPLE CF FUND I LLC,Limited Liability Company,2022-07-06,UNIVERSITY PLACE,WA,98466,https://www.sterlingrhinocapital.com/src-emf-cf-1/,2022-08-30,TycoonoInvest Portal LLC,WASHINGTON,United States,others
020-30355,0001665160-22-001834,10,7,1,"At the close of the offering, the issuer closed on $3,551,752.24 and 3,800,468 number of securities.",2Q,179,10000,10000,2022-09-15,2023-07-20,0,3551752.24,Common Stock,10000,1,Y,Other,1070000,6,31504,257849,31504,257849,0,0,570438,530000,0,0,14945,0,1881,0,0,0,-343664,-288696,"Timeplast, Inc.",Corporation,2021-12-20,Longwood,FL,32750,www.timeplast.net,2022-06-17,StartEngine,FLORIDA,United States,StartEngine
020-27156,0001670254-20-001022,7,3,1,"At the close of the offering, the issuer closed on $3,475,949.75 and 2,920,385 number of securities.",4Q,190,100000,100000,2021-03-04,2022-04-30,0,3475949.75,Common Stock,50000,2,Y,Other,1070000,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,-4000,0,DRONEDEK Corporation,Corporation,2020-04-30,Indianapolis,IN,46256,http://DRONEDEK.com,2020-11-06,Wefunder Portal LLC,INDIANA,United States,Wefunder Portal LLC
020-28910,0001644600-21-000106,7,4,1,"At the close of the offering, the issuer closed on $3,454,405.47 and 250,290 securities.",4Q,2041,3000000,15000,2022-04-30,2022-04-30,0,3454405.47,Common Stock,200000,15,Y,Other,3000000,16,1381289,2178867,157871,735562,9922,21583,449951,328395,0,0,933570,645565,0,0,0,0,-2225398,-3645356,"Legion M Entertainment, Inc.",Corporation,2016-03-04,LOS ANGELES,CA,90067,www.legionm.com,2021-10-05,STARTENGINE PRIMARY LLC,CALIFORNIA,United States,others
020-27132,0001665160-20-001372,9,2,2,"Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $3,420,891.74 and 856,687 number of securities.",4Q,395,10000,10000,2021-04-28,2021-06-27,0,3420891.74,Other,2500,4,Y,Other,1069996,5,8238,35895,8238,35895,0,0,0,0,0,0,12616,0,7300,0,0,0,-37657,0,"Fanbase Social Media, Inc.",Corporation,2019-10-01,Atlanta,GA,30377,fanbase.app,2020-10-30,StartEngine,GEORGIA,United States,StartEngine
020-31737,0001062993-23-002317,3,1,1,"The Issuer closed the Offering and raised $3,058,525 in finalized commitments during the Offering period.",1Q,2608,25000,25000,2023-04-30,2023-04-30,0,3058525.00,Other,25000,1,Y,Other,4400000,8,1159577,1785637,420340,1169761,51415,231547,3502510,1454761,6468,129803,4837485,2640095,1651201,877575,0,0,-3036566,-413281,Aura Health CA,Corporation,2015-12-18,SAN FRANCISO,CA,94110,https://www.aurahealth.io,2023-02-07,Dealmaker,CALIFORNIA,United States,others
020-29778,0001878261-22-000001,7,2,1,"The Offering closed successfully on 4/18/2022 having received investment commitments of $2,999,369.04, although a final accounting has not taken place.",1Q,964,25000,25000,2022-04-28,2022-04-28,0,2999369.04,Other,25000,1,Y,Other,3000000,2,446730,37297,441519,37297,0,0,71024,0,0,0,589658,39260,12301,540,0,0,338410,37217,Revero Inc,Corporation,2019-07-11,SAN FRANCISCO,CA,94123,www.revero.com,2022-03-01,Republic,CALIFORNIA,United States,Republic
020-28624,0001875534-21-000001,10,7,1,"By the close of the offering, the issuer closed on a total of $2,986,052.50 and 2,289,933 units of the security.",3Q,1666,10000,10000,2021-12-03,2023-03-31,0,2986052.50,Common Stock,10000,1,Y,Other,1070000,1,548477,529851,59928,28298,0,0,151807,89949,0,0,1650002,651206,198000,76554,0,0,-73232,281952,"4BIDDENKNOWLEDGE, INC.",Corporation,2017-01-31,WESTON,FL,33331,4biddenknowledge.com,2021-08-24,truCrowd,FLORIDA,United States,others
020-31739,0001794805-23-000001,4,1,2,"The Offering closed successfully on 3/29/2023, having received investment commitments of $2,979,188.92, although a final accounting has not taken place.",1Q,1432,600000,600000,2023-04-30,2023-03-28,0,2979188.92,Other,25000000,0.12,Y,Other,3000000,0,13365923,7158794,3753009,3486798,309104,13236,6660782,316937,0,0,1629853,109520,0,0,0,0,-4381248,-11670080,Republic Core LLC,Limited Liability Company,2019-03-08,NEW YORK,NY,10010,www.republic.co/note,2023-02-07,Republic,NEW YORK,United States,Republic
020-27962,0001669191-21-000395,6,4,1,"End of offering. Issuer closed its offering with estimated gross proceeds of $2,973,088. The foregoing is in regard only to the amount raised under the Section 4(a)(6) exemption.",2Q,853,10000,10000,2021-06-30,2021-08-20,0,2973088.00,Common Stock,1250,8,Y,"First-come, first-served basis",1070000,15,524554,171801,422900,159939,0,0,555000,0,1552330,313000,0,0,0,0,0,0,-1804525,-786027,"Energy Exploration Technologies, Inc.",Corporation,2018-12-18,Dorado,PR,646,www.energyx.com,2021-04-19,NetCapital Funding Portal Inc.,PUERTO RICO,United States,NetCapital Funding Portal Inc.
020-30000,0001421744-22-000001,13,0,12,"The issuer raised approximately $2,843,708.73 during the offering period. Payments are still being processed; the exact amount has yet to be determined.",2Q,5733,25000,25000,2022-10-28,2022-10-28,0,2843708.73,Preferred Stock,10870,2.3,Y,"First-come, first-served basis",5000000,2,1756758,1466746,967757,537354,341193,283676,554929,2400661,0,107502,307500,591056,2205358,503906,0,0,-2544189,-995850,Cytonics Corp,Corporation,2006-07-26,JUPITER,FL,33458,https://www.cytonics.com,2022-04-06,SeedInvest,FLORIDA,United States,SeedInvest
