stateOrCountry,stateOrCountryName,state (US),Country
B1,BOTSWANA,,BOTSWANA
D4,BOUVET ISLAND,,BOUVET ISLAND
D5,BRAZIL,,BRAZIL
D6,BRITISH INDIAN OCEAN TERRITORY,,BRITISH INDIAN OCEAN TERRITORY
D9,BRUNEI DARUSSALAM,,BRUNEI DARUSSALAM
E0,BULGARIA,,BULGARIA
X2,BURKINA FASO,,BURKINA FASO
E2,BURUNDI,,BURUNDI
E3,CAMBODIA,,CAMBODIA
E4,CAMEROON,,CAMEROON
E8,CAPE VERDE,,CAPE VERDE
E9,CAYMAN ISLANDS,,CAYMAN ISLANDS
F0,CENTRAL AFRICAN REPUBLIC,,CENTRAL AFRICAN REPUBLIC
F2,CHAD,,CHAD
F3,CHILE,,CHILE
F4,CHINA,,CHINA
F6,CHRISTMAS ISLAND,,CHRISTMAS ISLAND
F7,COCOS (KEELING) ISLANDS,,COCOS (KEELING) ISLANDS
F8,COLOMBIA,,COLOMBIA
F9,COMOROS,,COMOROS
G0,CONGO,,CONGO
Y3,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
G1,COOK ISLANDS,,COOK ISLANDS
G2,COSTA RICA,,COSTA RICA
L7,COTE D'IVOIRE,,COTE D'IVOIRE
1M,CROATIA,,CROATIA
G3,CUBA,,CUBA
G4,CYPRUS,,CYPRUS
2N,CZECH REPUBLIC,,CZECH REPUBLIC
G7,DENMARK,,DENMARK
1G,DJIBOUTI,,DJIBOUTI
G9,DOMINICA,,DOMINICA
G8,DOMINICAN REPUBLIC,,DOMINICAN REPUBLIC
H1,ECUADOR,,ECUADOR
H2,EGYPT,,EGYPT
H3,EL SALVADOR,,EL SALVADOR
H4,EQUATORIAL GUINEA,,EQUATORIAL GUINEA
1J,ERITREA,,ERITREA
1H,ESTONIA,,ESTONIA
H5,ETHIOPIA,,ETHIOPIA
H7,FALKLAND ISLANDS (MALVINAS),,FALKLAND ISLANDS (MALVINAS)
H6,FAROE ISLANDS,,FAROE ISLANDS
H8,FIJI,,FIJI
H9,FINLAND,,FINLAND
I0,FRANCE,,FRANCE
I3,FRENCH GUIANA,,FRENCH GUIANA
I4,FRENCH POLYNESIA,,FRENCH POLYNESIA
2C,FRENCH SOUTHERN TERRITORIES,,FRENCH SOUTHERN TERRITORIES
I5,GABON,,GABON
I6,GAMBIA,,GAMBIA
2Q,GEORGIA,,GEORGIA
2M,GERMANY,,GERMANY
J0,GHANA,,GHANA
J1,GIBRALTAR,,GIBRALTAR
J3,GREECE,,GREECE
J4,GREENLAND,,GREENLAND
J5,GRENADA,,GRENADA
J6,GUADELOUPE,,GUADELOUPE
J8,GUATEMALA,,GUATEMALA
Y7,GUERNSEY,,GUERNSEY
J9,GUINEA,,GUINEA
S0,GUINEA-BISSAU,,GUINEA-BISSAU
K0,GUYANA,,GUYANA
K1,HAITI,,HAITI
K4,HEARD ISLAND AND MCDONALD ISLANDS,,HEARD ISLAND AND MCDONALD ISLANDS
X4,HOLY SEE (VATICAN CITY STATE),,HOLY SEE (VATICAN CITY STATE)
K2,HONDURAS,,HONDURAS
K3,HONG KONG,,HONG KONG
K5,HUNGARY,,HUNGARY
K6,ICELAND,,ICELAND
K7,INDIA,,INDIA
K8,INDONESIA,,INDONESIA
K9,"IRAN, ISLAMIC REPUBLIC OF",,"IRAN, ISLAMIC REPUBLIC OF"
L0,IRAQ,,IRAQ
L2,IRELAND,,IRELAND
Y8,ISLE OF MAN,,ISLE OF MAN
L3,ISRAEL,,ISRAEL
L6,ITALY,,ITALY
L8,JAMAICA,,JAMAICA
M0,JAPAN,,JAPAN
Y9,JERSEY,,JERSEY
M2,JORDAN,,JORDAN
1P,KAZAKSTAN,,KAZAKSTAN
M3,KENYA,,KENYA
J2,KIRIBATI,,KIRIBATI
M4,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF"
M5,"KOREA, REPUBLIC OF",,"KOREA, REPUBLIC OF"
M6,KUWAIT,,KUWAIT
1N,KYRGYZSTAN,,KYRGYZSTAN
M7,LAO PEOPLE'S DEMOCRATIC REPUBLIC,,LAO PEOPLE'S DEMOCRATIC REPUBLIC
1R,LATVIA,,LATVIA
M8,LEBANON,,LEBANON
M9,LESOTHO,,LESOTHO
N0,LIBERIA,,LIBERIA
N1,LIBYAN ARAB JAMAHIRIYA,,LIBYAN ARAB JAMAHIRIYA
N2,LIECHTENSTEIN,,LIECHTENSTEIN
1Q,LITHUANIA,,LITHUANIA
N4,LUXEMBOURG,,LUXEMBOURG
N5,MACAU,,MACAU
1U,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF"
N6,MADAGASCAR,,MADAGASCAR
N7,MALAWI,,MALAWI
N8,MALAYSIA,,MALAYSIA
N9,MALDIVES,,MALDIVES
O0,MALI,,MALI
O1,MALTA,,MALTA
1T,MARSHALL ISLANDS,,MARSHALL ISLANDS
O2,MARTINIQUE,,MARTINIQUE
O3,MAURITANIA,,MAURITANIA
O4,MAURITIUS,,MAURITIUS
2P,MAYOTTE,,MAYOTTE
O5,MEXICO,,MEXICO
1K,"MICRONESIA, FEDERATED STATES OF",,"MICRONESIA, FEDERATED STATES OF"
1S,"MOLDOVA, REPUBLIC OF",,"MOLDOVA, REPUBLIC OF"
O9,MONACO,,MONACO
P0,MONGOLIA,,MONGOLIA
Z5,MONTENEGRO,,MONTENEGRO
P1,MONTSERRAT,,MONTSERRAT
P2,MOROCCO,,MOROCCO
P3,MOZAMBIQUE,,MOZAMBIQUE
E1,MYANMAR,,MYANMAR
T6,NAMIBIA,,NAMIBIA
P5,NAURU,,NAURU
P6,NEPAL,,NEPAL
P7,NETHERLANDS,,NETHERLANDS
P8,NETHERLANDS ANTILLES,,NETHERLANDS ANTILLES
1W,NEW CALEDONIA,,NEW CALEDONIA
Q2,NEW ZEALAND,,NEW ZEALAND
Q3,NICARAGUA,,NICARAGUA
Q4,NIGER,,NIGER
Q5,NIGERIA,,NIGERIA
Q6,NIUE,,NIUE
Q7,NORFOLK ISLAND,,NORFOLK ISLAND
1V,NORTHERN MARIANA ISLANDS,,NORTHERN MARIANA ISLANDS
Q8,NORWAY,,NORWAY
P4,OMAN,,OMAN
R0,PAKISTAN,,PAKISTAN
1Y,PALAU,,PALAU
1X,"PALESTINIAN TERRITORY, OCCUPIED",,"PALESTINIAN TERRITORY, OCCUPIED"
R1,PANAMA,,PANAMA
R2,PAPUA NEW GUINEA,,PAPUA NEW GUINEA
R4,PARAGUAY,,PARAGUAY
R5,PERU,,PERU
R6,PHILIPPINES,,PHILIPPINES
R8,PITCAIRN,,PITCAIRN
R9,POLAND,,POLAND
S1,PORTUGAL,,PORTUGAL
S3,QATAR,,QATAR
S4,REUNION,,REUNION
S5,ROMANIA,,ROMANIA
1Z,RUSSIAN FEDERATION,,RUSSIAN FEDERATION
S6,RWANDA,,RWANDA
Z0,SAINT BARTHELEMY,,SAINT BARTHELEMY
U8,SAINT HELENA,,SAINT HELENA
U7,SAINT KITTS AND NEVIS,,SAINT KITTS AND NEVIS
U9,SAINT LUCIA,,SAINT LUCIA
Z1,SAINT MARTIN,,SAINT MARTIN
V0,SAINT PIERRE AND MIQUELON,,SAINT PIERRE AND MIQUELON
V1,SAINT VINCENT AND THE GRENADINES,,SAINT VINCENT AND THE GRENADINES
Y0,SAMOA,,SAMOA
S8,SAN MARINO,,SAN MARINO
S9,SAO TOME AND PRINCIPE,,SAO TOME AND PRINCIPE
T0,SAUDI ARABIA,,SAUDI ARABIA
T1,SENEGAL,,SENEGAL
Z2,SERBIA,,SERBIA
T2,SEYCHELLES,,SEYCHELLES
T8,SIERRA LEONE,,SIERRA LEONE
U0,SINGAPORE,,SINGAPORE
2B,SLOVAKIA,,SLOVAKIA
2A,SLOVENIA,,SLOVENIA
D7,SOLOMON ISLANDS,,SOLOMON ISLANDS
U1,SOMALIA,,SOMALIA
T3,SOUTH AFRICA,,SOUTH AFRICA
1L,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
U3,SPAIN,,SPAIN
F1,SRI LANKA,,SRI LANKA
V2,SUDAN,,SUDAN
V3,SURINAME,,SURINAME
L9,SVALBARD AND JAN MAYEN,,SVALBARD AND JAN MAYEN
V6,SWAZILAND,,SWAZILAND
V7,SWEDEN,,SWEDEN
V8,SWITZERLAND,,SWITZERLAND
V9,SYRIAN ARAB REPUBLIC,,SYRIAN ARAB REPUBLIC
F5,"TAIWAN, PROVINCE OF CHINA",,"TAIWAN, PROVINCE OF CHINA"
2D,TAJIKISTAN,,TAJIKISTAN
W0,"TANZANIA, UNITED REPUBLIC OF",,"TANZANIA, UNITED REPUBLIC OF"
W1,THAILAND,,THAILAND
Z3,TIMOR-LESTE,,TIMOR-LESTE
W2,TOGO,,TOGO
W3,TOKELAU,,TOKELAU
W4,TONGA,,TONGA
W5,TRINIDAD AND TOBAGO,,TRINIDAD AND TOBAGO
W6,TUNISIA,,TUNISIA
W8,TURKEY,,TURKEY
2E,TURKMENISTAN,,TURKMENISTAN
W7,TURKS AND CAICOS ISLANDS,,TURKS AND CAICOS ISLANDS
2G,TUVALU,,TUVALU
W9,UGANDA,,UGANDA
2H,UKRAINE,,UKRAINE
C0,UNITED ARAB EMIRATES,,UNITED ARAB EMIRATES
X0,UNITED KINGDOM,,UNITED KINGDOM
2J,UNITED STATES MINOR OUTLYING ISLANDS,,UNITED STATES MINOR OUTLYING ISLANDS
X3,URUGUAY,,URUGUAY
2K,UZBEKISTAN,,UZBEKISTAN
2L,VANUATU,,VANUATU
X5,VENEZUELA,,VENEZUELA
Q1,VIET NAM,,VIET NAM
D8,"VIRGIN ISLANDS, BRITISH",,"VIRGIN ISLANDS, BRITISH"
X8,WALLIS AND FUTUNA,,WALLIS AND FUTUNA
U5,WESTERN SAHARA,,WESTERN SAHARA
T7,YEMEN,,YEMEN
Y4,ZAMBIA,,ZAMBIA
Y5,ZIMBABWE,,ZIMBABWE
